      time,           p [     12.8     0.225         0],           p [    14.08     0.225         0],           p [    15.64     0.225         0],           p [     17.2     0.225         0],           p [    18.76     0.225         0],           p [    20.32     0.225         0],           p [    21.88     0.225         0],           p [    23.44     0.225         0],           p [       25     0.225         0],           p [    26.56     0.225         0],           p [    28.12     0.225         0],           p [    29.68     0.225         0],           p [    31.24     0.225         0],           p [     32.8     0.225         0],           p [    34.36     0.225         0],           p [    35.92     0.225         0],           p [    37.48     0.225         0],           p [    39.04     0.225         0],           p [     40.6     0.225         0],           p [    42.16     0.225         0],           p [    43.72     0.225         0],           p [    45.28     0.225         0]
0.0000e+00,                    2.208714633000000504e+03,                    2.208714718632285894e+03,                    2.208714633000000504e+03,                    2.208714640412071276e+03,                    2.208714633000000049e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000001413e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208714633000000958e+03,                    2.208714633000000049e+03,                    2.208714871082621812e+03,                    2.208714633000000504e+03,                    2.208714633000000504e+03,                    2.208715296387961189e+03,                    2.208714633000000049e+03,                    2.208714633000000049e+03,                    2.208714654909470482e+03
1.0000e-03,                    2.194683806112087495e+03,                    2.193606574471739350e+03,                    2.194146823736088663e+03,                    2.193718191512164594e+03,                    2.194689615072054949e+03,                    2.195580201695770484e+03,                    2.194638979639994432e+03,                    2.194345664128095450e+03,                    2.194134179992146983e+03,                    2.193227396829409372e+03,                    2.195524696733973997e+03,                    2.196167412294832502e+03,                    2.195310745312709059e+03,                    2.195411742231357948e+03,                    2.192297463198586229e+03,                    2.194978675339845722e+03,                    2.193206480787733199e+03,                    2.195756192122191351e+03,                    2.194196894465508194e+03,                    2.194644616984910044e+03,                    2.193814745077112093e+03,                    2.194508790569710072e+03
3.0000e-03,                    2.196864796596199085e+03,                    2.199598418871354625e+03,                    2.198793708591371797e+03,                    2.194572133842301810e+03,                    2.201216837400629629e+03,                    2.200133009982907424e+03,                    2.198701423564400102e+03,                    2.202634979075217416e+03,                    2.198642195855532918e+03,                    2.195696041997245629e+03,                    2.201138055877087936e+03,                    2.207321349649641434e+03,                    2.203246582972199121e+03,                    2.200471592924779543e+03,                    2.191246033313200769e+03,                    2.198276436093912707e+03,                    2.197439542150741545e+03,                    2.203779035397165899e+03,                    2.198672388058320848e+03,                    2.202895233558598193e+03,                    2.198517191115734477e+03,                    2.198634823885480728e+03
7.0000e-03,                    2.196983656956130289e+03,                    2.199880008782708501e+03,                    2.199200376469580078e+03,                    2.194780703637556599e+03,                    2.201562363871283196e+03,                    2.200505382434437706e+03,                    2.198788421869293870e+03,                    2.203180658515642335e+03,                    2.199058907445799377e+03,                    2.196083682270893860e+03,                    2.201162443900926974e+03,                    2.207774907715499467e+03,                    2.203650504250852464e+03,                    2.200960929199018210e+03,                    2.191264014047652836e+03,                    2.198413282282414002e+03,                    2.197576326923481247e+03,                    2.204259221336623341e+03,                    2.198925258080206731e+03,                    2.203332233421899218e+03,                    2.198935075107625380e+03,                    2.198848214561013265e+03
1.5000e-02,                    2.196982535150767490e+03,                    2.199789646160025313e+03,                    2.199139979185062657e+03,                    2.194736265003341032e+03,                    2.201588907511569232e+03,                    2.200531025297366796e+03,                    2.198786169334015540e+03,                    2.203104326583561033e+03,                    2.199014901262488820e+03,                    2.196110943681427671e+03,                    2.201174573382627386e+03,                    2.207795512146048168e+03,                    2.203683744775667492e+03,                    2.201049014854123016e+03,                    2.191331645002700498e+03,                    2.198457039907997114e+03,                    2.197602245056302309e+03,                    2.204286210439469414e+03,                    2.198987749070098289e+03,                    2.203439182942819116e+03,                    2.198888252284703412e+03,                    2.198889864818517253e+03
3.1000e-02,                    2.197068067853799221e+03,                    2.200002389346545897e+03,                    2.199312204820286752e+03,                    2.194987474947611190e+03,                    2.201740869079414551e+03,                    2.200637506321056208e+03,                    2.198934614056383907e+03,                    2.203194284420691474e+03,                    2.199072995182996237e+03,                    2.196205156146634181e+03,                    2.201346963501013306e+03,                    2.207812770384421128e+03,                    2.203789064639081971e+03,                    2.201101712164365836e+03,                    2.191479083755240026e+03,                    2.198619551223601320e+03,                    2.197721541115525724e+03,                    2.204339476406593803e+03,                    2.199049909147124708e+03,                    2.203557836286338443e+03,                    2.198918931720699220e+03,                    2.198924678045050769e+03
6.3000e-02,                    2.197492994341675058e+03,                    2.200578634169806264e+03,                    2.199686610461065357e+03,                    2.195701115250213206e+03,                    2.202158953225256482e+03,                    2.201050311002620219e+03,                    2.199234934008767141e+03,                    2.203390915845584914e+03,                    2.199230471213728379e+03,                    2.196618901556339551e+03,                    2.201592447093201372e+03,                    2.207906007439766654e+03,                    2.203935065099027270e+03,                    2.201433571565949933e+03,                    2.191938550449121067e+03,                    2.199185996115598755e+03,                    2.198190526957459952e+03,                    2.204622548052439015e+03,                    2.199349902620168905e+03,                    2.204046458334113595e+03,                    2.199182419830624895e+03,                    2.199281901686209039e+03
1.0689e-01,                    2.201599850248885105e+03,                    2.205190079866642463e+03,                    2.203785077312145404e+03,                    2.200637072399377303e+03,                    2.206243018046651741e+03,                    2.205550332828885985e+03,                    2.203402624761804418e+03,                    2.207156017425365462e+03,                    2.203139870949713895e+03,                    2.200890526684371707e+03,                    2.206029467148045569e+03,                    2.211139532744083226e+03,                    2.207462635319515812e+03,                    2.205226083561275573e+03,                    2.196545041208181374e+03,                    2.203606372500688394e+03,                    2.202745663900195723e+03,                    2.208577278059686250e+03,                    2.203275685907755360e+03,                    2.208230595447786072e+03,                    2.202957268694593949e+03,                    2.203194103189681755e+03
1.3670e-01,                    2.212814477826243547e+03,                    2.217454942110536649e+03,                    2.216430714231318234e+03,                    2.213805651667538314e+03,                    2.217686225383511555e+03,                    2.218091375730368327e+03,                    2.214274951352455446e+03,                    2.218488508669647217e+03,                    2.215150411927174900e+03,                    2.213143933328953608e+03,                    2.218315871675447852e+03,                    2.221202690788134532e+03,                    2.218338910676660817e+03,                    2.216919588893993478e+03,                    2.209900016319357292e+03,                    2.215624511219337819e+03,                    2.215277537111361198e+03,                    2.220259202965935401e+03,                    2.214282442062420159e+03,                    2.220581139133058059e+03,                    2.215035773979961959e+03,                    2.214426788575219234e+03
1.6579e-01,                    2.207252394540305431e+03,                    2.211160638435165765e+03,                    2.210972248667189888e+03,                    2.209330753709814871e+03,                    2.211869615591617276e+03,                    2.212450139346410651e+03,                    2.209068213446510072e+03,                    2.211979033506445376e+03,                    2.209470747398287585e+03,                    2.207758632807252980e+03,                    2.210589181702800033e+03,                    2.214566720391331273e+03,                    2.212383908667990909e+03,                    2.211680977519730732e+03,                    2.203863516984468333e+03,                    2.210542843266735417e+03,                    2.210076303577529416e+03,                    2.213834291071101688e+03,                    2.208559113677214100e+03,                    2.214385668801276097e+03,                    2.208743803644102627e+03,                    2.209028938660783297e+03
