Local(a4),Profile(a20),SurveyNumber,Lat,Lon,Easting,Northing,OffLine,Depth1,Depth2,Date,Time(hhmmss),time(sec after midnight),Feature(a20)
FRF,1097,1116,36.18719468,-75.75277434,901639.167,275148.428,67.743,1098.487,2.791,-36.074,20150915,153948,56388
FRF,1097,1116,36.18721118,-75.75276493,901639.953,275150.286,69.117,1099.964,2.713,-36.152,20150915,153949,56389
FRF,1097,1116,36.18722369,-75.75275064,901641.193,275151.715,70.772,1100.882,2.554,-36.311,20150915,153950,56390
FRF,1097,1116,36.18723456,-75.7527385,901642.244,275152.956,72.184,1101.688,2.069,-36.796,20150915,153951,56391
FRF,1097,1116,36.18724339,-75.75272619,901643.319,275153.971,73.542,1102.273,1.901,-36.964,20150915,153952,56392
FRF,1097,1116,36.18724793,-75.75271229,901644.552,275154.516,74.887,1102.363,1.864,-37.001,20150915,153953,56393
FRF,1097,1116,36.18725402,-75.75270351,901645.319,275155.217,75.847,1102.759,1.736,-37.129,20150915,153954,56394
FRF,1097,1116,36.18726033,-75.7526928,901646.259,275155.948,76.981,1103.124,1.617,-37.248,20150915,153955,56395
FRF,1097,1116,36.18726688,-75.75267691,901647.664,275156.722,78.566,1103.37,1.466,-37.399,20150915,153956,56396
FRF,1097,1116,36.18727286,-75.75265809,901649.334,275157.441,80.381,1103.474,1.344,-37.521,20150915,153957,56397
FRF,1097,1116,36.1872776,-75.75263405,901651.478,275158.036,82.599,1103.299,1.225,-37.64,20150915,153958,56398
FRF,1097,1116,36.1872807,-75.75260698,901653.9,275158.461,85.021,1102.869,1.009,-37.856,20150915,153959,56399
FRF,1097,1116,36.18728385,-75.75257975,901656.337,275158.889,87.457,1102.436,0.706,-38.159,20150915,154000,56400
FRF,1097,1116,36.18728647,-75.75255436,901658.61,275159.255,89.718,1102.002,0.464,-38.401,20150915,154001,56401
FRF,1097,1116,36.1872892,-75.7525307,901660.727,275159.627,91.834,1101.626,0.254,-38.611,20150915,154002,56402
FRF,1097,1116,36.18729169,-75.75251305,901662.306,275159.956,93.43,1101.395,0.123,-38.742,20150915,154003,56403
FRF,1097,1116,36.18729395,-75.75249597,901663.833,275160.257,94.968,1101.155,0.004,-38.861,20150915,154004,56404
FRF,1097,1116,36.18729631,-75.75247839,901665.405,275160.569,96.552,1100.909,-0.118,-38.983,20150915,154005,56405
FRF,1097,1116,36.18729888,-75.75245964,901667.081,275160.91,98.243,1100.656,-0.221,-39.086,20150915,154006,56406
FRF,1097,1116,36.18730174,-75.75243795,901669.021,275161.291,100.196,1100.349,-0.467,-39.332,20150915,154007,56407
FRF,1097,1116,36.18730388,-75.75241704,901670.893,275161.59,102.058,1099.989,-0.833,-39.698,20150915,154008,56408
FRF,1097,1116,36.18730685,-75.75238568,901673.702,275162.011,104.841,1099.423,-1.053,-39.818,20150915,154010,56410
FRF,1097,1116,36.18730899,-75.7523612,901675.894,275162.321,107.007,1098.964,-1.269,-39.886,20150915,154011,56411
FRF,1097,1116,36.1873127,-75.75230764,901680.696,275162.89,111.713,1097.854,-1.488,-39.601,20150915,154013,56413
FRF,1097,1116,36.18731554,-75.7522783,901683.323,275163.291,114.319,1097.331,-1.684,-39.875,20150915,154014,56414
FRF,1097,1116,36.18731764,-75.7522288,901687.766,275163.67,118.623,1096.166,-1.882,-39.83,20150915,154016,56416
FRF,1097,1116,36.18731888,-75.75220397,901689.994,275163.88,120.788,1095.6,-2.023,-39.935,20150915,154017,56417
FRF,1097,1116,36.18732057,-75.75215724,901694.189,275164.205,124.841,1094.469,-2.147,-39.586,20150915,154019,56419
FRF,1097,1116,36.18732313,-75.75213272,901696.384,275164.561,127.025,1094.052,-2.236,-39.871,20150915,154020,56420
FRF,1097,1116,36.18732557,-75.75210837,901698.564,275164.904,129.191,1093.628,-2.316,-39.771,20150915,154021,56421
FRF,1097,1116,36.18733538,-75.75205541,901703.289,275166.147,134.056,1093.177,-2.358,-39.839,20150915,154023,56423
FRF,1097,1116,36.18734743,-75.75200741,901707.561,275167.625,138.575,1093.103,-2.398,-39.587,20150915,154025,56425
FRF,1097,1116,36.18735283,-75.75198269,901709.764,275168.297,140.875,1092.98,-2.419,-39.849,20150915,154026,56426
FRF,1097,1116,36.18736353,-75.75193423,901714.082,275169.626,145.387,1092.75,-2.418,-39.763,20150915,154028,56428
FRF,1097,1116,36.18736794,-75.75190884,901716.349,275170.189,147.71,1092.503,-2.407,-39.735,20150915,154029,56429
FRF,1097,1116,36.18737713,-75.75186027,901720.682,275171.352,152.179,1092.112,-2.405,-39.625,20150915,154031,56431
FRF,1097,1116,36.18738159,-75.7518346,901722.974,275171.922,154.528,1091.862,-2.394,-39.87,20150915,154032,56432
FRF,1097,1116,36.18739078,-75.75178052,901727.802,275173.1,159.467,1091.316,-2.396,-39.857,20150915,154034,56434
FRF,1097,1116,36.18739713,-75.75175286,901730.265,275173.886,162.051,1091.211,-2.413,-39.962,20150915,154035,56435
FRF,1097,1116,36.18740481,-75.75172946,901732.342,275174.806,164.317,1091.364,-2.429,-39.546,20150915,154036,56436
FRF,1097,1116,36.18742413,-75.75168672,901736.114,275177.075,168.638,1092.204,-2.446,-39.929,20150915,154038,56438
FRF,1097,1116,36.18743466,-75.75166818,901737.742,275178.298,170.586,1092.796,-2.471,-39.765,20150915,154039,56439
FRF,1097,1116,36.18745847,-75.75162478,901741.558,275181.065,175.119,1094.089,-2.488,-40.009,20150915,154041,56441
FRF,1097,1116,36.18747021,-75.75160621,901743.184,275182.422,177.112,1094.807,-2.495,-39.628,20150915,154042,56442
FRF,1097,1116,36.1874933,-75.75156918,901746.429,275185.093,181.075,1096.205,-2.496,-39.879,20150915,154044,56444
FRF,1097,1116,36.18750956,-75.75152676,901750.184,275187.021,185.263,1096.731,-2.506,-39.812,20150915,154046,56446
FRF,1097,1116,36.18751608,-75.75150178,901752.406,275187.817,187.624,1096.718,-2.502,-40.008,20150915,154047,56447
FRF,1097,1116,36.18752534,-75.75144945,901757.077,275188.998,192.417,1096.228,-2.51,-39.808,20150915,154049,56449
FRF,1097,1116,36.18753012,-75.7514233,901759.411,275189.605,194.817,1095.999,-2.537,-39.677,20150915,154050,56450
FRF,1097,1116,36.18754051,-75.75136953,901764.207,275190.916,199.772,1095.588,-2.59,-39.644,20150915,154052,56452
FRF,1097,1116,36.18754833,-75.75134063,901766.777,275191.867,202.513,1095.602,-2.635,-39.913,20150915,154053,56453
FRF,1097,1116,36.18756444,-75.75128162,901772.024,275193.828,208.114,1095.648,-2.71,-39.739,20150915,154055,56455
FRF,1097,1116,36.18757326,-75.7512534,901774.529,275194.889,210.831,1095.787,-2.791,-39.692,20150915,154056,56456
FRF,1097,1116,36.18758863,-75.7511939,901779.822,275196.77,216.448,1095.741,-2.862,-39.95,20150915,154058,56458
FRF,1097,1116,36.18759508,-75.7511636,901782.522,275197.574,219.26,1095.572,-2.91,-39.773,20150915,154059,56459
FRF,1097,1116,36.18761098,-75.75110723,901787.532,275199.503,224.628,1095.669,-2.964,-39.608,20150915,154101,56461
FRF,1097,1116,36.18761963,-75.75108147,901789.818,275200.538,227.13,1095.859,-3.026,-39.553,20150915,154102,56462
FRF,1097,1116,36.18763867,-75.75102793,901794.561,275202.807,232.363,1096.366,-3.075,-39.954,20150915,154104,56464
FRF,1097,1116,36.18764657,-75.75099722,901797.294,275203.774,235.262,1096.339,-3.123,-40.004,20150915,154105,56465
FRF,1097,1116,36.18766057,-75.75093931,901802.449,275205.497,240.695,1096.193,-3.192,-39.389,20150915,154107,56467
FRF,1097,1116,36.18766773,-75.75091062,901805.002,275206.375,243.395,1096.143,-3.263,-39.633,20150915,154108,56468
FRF,1097,1116,36.18767864,-75.75085178,901810.253,275207.759,248.802,1095.645,-3.321,-40.002,20150915,154110,56470
FRF,1097,1116,36.18768319,-75.75081843,901813.234,275208.362,251.809,1095.191,-3.409,-39.972,20150915,154111,56471
FRF,1097,1116,36.18769702,-75.75075959,901818.473,275210.068,257.316,1095,-3.503,-39.447,20150915,154113,56473
FRF,1097,1116,36.18770452,-75.75073064,901821.049,275210.986,260.05,1094.98,-3.595,-39.844,20150915,154114,56474
FRF,1097,1116,36.18772119,-75.75066951,901826.485,275213.014,265.852,1095.024,-3.692,-40.019,20150915,154116,56476
FRF,1097,1116,36.1877295,-75.75063764,901829.319,275214.029,268.862,1095.007,-3.78,-39.853,20150915,154117,56477
FRF,1097,1116,36.18774798,-75.75058181,901834.271,275216.243,274.273,1095.392,-3.865,-42.734,20150915,154119,56479
FRF,1097,1116,36.18775725,-75.75055544,901836.608,275217.349,276.848,1095.631,-3.951,-39.788,20150915,154120,56480
FRF,1097,1116,36.18776675,-75.75052766,901839.071,275218.484,279.55,1095.854,-4.033,-40.048,20150915,154121,56481
FRF,1097,1116,36.18778378,-75.75046635,901844.521,275220.554,285.38,1095.932,-4.109,-42.979,20150915,154123,56483
FRF,1097,1116,36.18780077,-75.75040871,901849.642,275222.608,290.894,1096.108,-4.189,-43.054,20150915,154125,56485
FRF,1097,1116,36.18780983,-75.7503821,901852.001,275223.691,293.482,1096.318,-4.258,-43.112,20150915,154126,56486
FRF,1097,1116,36.18782651,-75.75032487,901857.085,275225.709,298.949,1096.473,-4.34,-43.212,20150915,154128,56488
FRF,1097,1116,36.18783547,-75.75029427,901859.804,275226.793,301.875,1096.561,-4.417,-43.258,20150915,154129,56489
FRF,1097,1116,36.18785313,-75.75023712,901864.878,275228.919,307.37,1096.821,-4.507,-43.385,20150915,154131,56491
FRF,1097,1116,36.18786284,-75.75020839,901867.426,275230.081,310.162,1097.04,-4.582,-43.442,20150915,154132,56492
FRF,1097,1116,36.18788107,-75.75015305,901872.335,275232.266,315.523,1097.412,-4.656,-43.557,20150915,154134,56494
FRF,1097,1116,36.18789058,-75.75012447,901874.869,275233.404,318.293,1097.613,-4.708,-43.587,20150915,154135,56495
FRF,1097,1116,36.18789968,-75.75009678,901877.326,275234.495,320.975,1097.797,-4.752,-43.627,20150915,154136,56496
FRF,1097,1116,36.18791904,-75.75003771,901882.566,275236.816,326.693,1098.183,-4.779,-43.646,20150915,154138,56498
FRF,1097,1116,36.18792839,-75.75000835,901885.171,275237.94,329.526,1098.347,-4.8,-43.664,20150915,154139,56499
FRF,1097,1116,36.18794766,-75.74995037,901890.313,275240.247,335.147,1098.754,-4.816,-43.689,20150915,154141,56501
FRF,1097,1116,36.18796461,-75.74989111,901895.58,275242.301,340.799,1098.88,-4.839,-43.703,20150915,154143,56503
FRF,1097,1116,36.18797377,-75.74986103,901898.251,275243.406,343.687,1099.004,-4.821,-43.696,20150915,154144,56504
FRF,1097,1116,36.1879916,-75.74980331,901903.375,275245.554,349.236,1099.267,-4.826,-43.667,20150915,154146,56506
FRF,1097,1116,36.18799964,-75.74977426,901905.958,275246.531,351.998,1099.301,-4.832,-43.671,20150915,154147,56507
FRF,1097,1116,36.18800764,-75.7497457,901908.496,275247.502,354.715,1099.344,-4.804,-43.712,20150915,154148,56508
FRF,1097,1116,36.18802225,-75.74968642,901913.772,275249.297,360.287,1099.224,-4.783,-43.735,20150915,154150,56510
FRF,1097,1116,36.18803503,-75.749626,901919.158,275250.892,365.893,1098.878,-4.691,-43.555,20150915,154152,56512
FRF,1097,1116,36.18804022,-75.74959623,901921.816,275251.555,368.617,1098.59,-4.733,-43.56,20150915,154153,56513
FRF,1097,1116,36.18805048,-75.74953411,901927.362,275252.877,374.281,1097.933,-4.684,-43.555,20150915,154155,56515
FRF,1097,1116,36.18805503,-75.74950269,901930.171,275253.473,377.124,1097.531,-4.663,-43.579,20150915,154156,56516
FRF,1097,1116,36.18806378,-75.74943973,901935.799,275254.63,382.808,1096.691,-4.648,-43.49,20150915,154158,56518
