Analysis performed between 30 and 68.8
Probe No	x		Period		Mean Height		Hi	H1/3	H1/10	Hmax
1		0.0		1.94285851138	159.347098655	0.0159145907014	165.250568307	174.543729749	175.015205768	
2		0.25		1.94160129365	162.18805474	0.0158728262701	166.704244433	176.288925868	180.348338439	
3		0.5		1.94072182369	163.4086336	0.0158454410954	166.664929515	172.524506034	178.78162761	
4		0.75		1.94093825124	162.353751234	0.0158278594883	165.102066462	167.927680625	168.416761749	
5		1.0		1.94213567084	159.320906069	0.0158568695471	162.524494553	169.0376552	170.408217105	
6		1.25		1.94077767444	154.639250883	0.0158724351781	157.686446148	163.842735457	165.151211011	
7		1.5		1.94016487995	149.332090208	0.0158632226808	151.238624603	151.953985297	152.0327699	
8		1.75		1.94009747406	147.226473935	0.0158685579717	149.142737752	149.794704882	150.104376482	
9		2.0		1.93849888303	148.152535246	0.015853867851	150.010929345	150.962267774	151.05208119	
10		2.25		1.93854374997	152.15250858	0.0158244079751	154.077936048	155.557535802	157.037275683	
11		2.5		1.94133649061	157.338962698	0.0157937068621	159.961569126	161.798362561	162.402841925	
12		2.75		1.94192432791	161.820944585	0.0157856492621	165.512276343	168.557752701	170.206239537	
13		3.0		1.94150382652	164.295561814	0.015769794907	168.113065027	173.392363033	175.380426953	
14		3.25		1.94076376199	163.276143322	0.015782629532	166.519731916	170.269298493	173.570419757	
15		3.5		1.94011717955	159.316257636	0.0158382274727	161.801188373	162.721750458	163.041422574	
16		3.75		1.94003740997	153.211203716	0.0158416372628	156.347156771	157.812513884	158.860559821	
17		4.0		1.94067465983	147.840996211	0.0158235396324	150.646994784	152.44584569	152.660972199	
18		4.25		1.93978077705	145.423476764	0.0159049633974	148.552496259	151.17230583	152.225947234	
19		4.5		1.93987327451	146.289383797	0.0159756537744	149.406936948	151.19523363	151.453066227	
20		4.75		1.94157603281	151.11067364	0.0159373156721	154.613413834	157.758074285	160.098758571	
21		5.0		1.94174582195	158.144849012	0.0158752844873	162.800947868	166.067671675	168.092727184	
22		5.25		1.94096574848	163.817694757	0.0158759404411	168.368358628	174.198808195	178.032532993	
23		5.5		1.94041227033	165.51745217	0.0158505642985	169.551957073	173.64488832	175.387506261	
24		5.75		1.94014306273	165.625331973	0.0158547774355	169.170941348	171.774626069	171.929326005	
25		6.0		1.94102238782	163.224346826	0.0158813009142	168.328023406	177.285953671	177.902901804	
26		6.25		1.93967315072	156.420715919	0.0158609341184	161.698107118	169.485321088	170.278151789	
27		6.5		1.93905694575	147.849723523	0.0158010058237	152.113577863	153.989392264	155.121711098	
28		6.75		1.9392300639	143.604620766	0.0157746732894	147.89481387	148.67502967	148.993766847	
29		7.0		1.93834346469	145.19400578	0.0158344033181	149.130496084	152.458776351	153.998503236	
30		7.25		1.93852926728	150.735387855	0.0159125132814	154.152794731	156.037999749	158.117056591	
31		7.5		1.94159892646	156.785077811	0.0158633881044	160.078631434	161.259262144	162.035819007	
32		7.75		1.94206198845	161.843849072	0.015807682815	164.635610617	166.760308824	167.714111381	
33		8.0		1.94148382099	165.16045662	0.0158259273259	167.232873886	168.977323909	170.753137082	
34		8.25		1.94047623198	164.972946419	0.0158391734702	167.621126751	169.458203041	170.037758597	
35		8.5		1.93968805953	161.866424513	0.0158289420519	166.542130818	169.71845629	170.213435498	
36		8.75		1.93987586333	156.370052489	0.0158095458967	161.284954685	164.125130401	165.815582671	
37		9.0		1.94058283594	149.221601036	0.0157819547424	153.347689785	155.624602126	157.292487009	
38		9.25		1.93994310707	144.550179678	0.0157184243332	149.712805352	150.797392618	150.843368529	
39		9.5		1.94014494662	144.947345567	0.0156875204122	149.18915572	151.075033933	151.16638598	
40		9.75		1.94176273715	150.012548701	0.0157237617442	155.273308147	159.325704077	159.768214923	
41		10.0		1.94291195781	156.019973997	0.0157349364567	160.228074748	164.356213974	165.271549842	
42		10.25		1.94064297386	160.688662925	0.015760786947	164.363935309	166.788488665	167.421993262	
43		10.5		1.94003739049	163.702322156	0.0158093031063	167.355691901	169.280730207	170.265956268	
44		10.75		1.94034037288	162.97247942	0.015754399448	168.933800096	177.030465649	180.638286253	
45		11.0		1.94134653103	159.032856597	0.0156524624064	165.595361974	175.173684055	177.197720883	
46		11.25		1.93995633396	153.184677203	0.0156094419916	158.78981884	166.042707187	166.857788784	
47		11.5		1.93920848609	147.854498349	0.0155729283285	152.370194165	154.824513406	154.960308905	
48		11.75		1.93881332603	146.056314219	0.0154997949589	150.95846809	154.607979389	155.503833463	
49		12.0		1.93794037665	147.867378246	0.0155414240823	152.775126065	155.50468348	156.832446167	
50		12.25		1.93789305461	150.66105036	0.0156388469306	155.075653733	155.540051847	155.982747617	
51		12.5		1.94106987343	153.058656274	0.0155617218664	157.026894348	159.1592251	159.693728722	
52		12.75		1.94173439769	156.495373356	0.0155449396303	160.676743272	162.642896848	162.679215119	
53		13.0		1.94114359492	159.115793874	0.015646050438	162.979747024	165.145849569	165.301013094	
54		13.25		1.94052692418	157.528092277	0.0156607345031	161.885349034	163.22488466	164.569836141	
55		13.5		1.93963564905	154.689401015	0.0155755792323	161.099505282	164.581198132	165.704880834	
56		13.75		1.93896090732	152.847637475	0.0155818800673	158.30954452	160.092857834	161.503343191	
57		14.0		1.93858652844	149.404042091	0.0155755646239	154.055154121	156.661219577	157.538220734	
58		14.25		1.93872988186	147.22803189	0.0154978991756	152.338398682	155.49530431	156.055401264	
59		14.5		1.94057520407	148.344240974	0.0154342401483	153.184114661	155.778999466	156.710077908	
60		14.75		1.94222633451	152.473964442	0.0155111095713	157.258225088	159.570263627	160.175098128	
61		15.0		1.94211745128	154.526402494	0.015498670435	157.767150582	159.789043827	160.947926791	
62		15.25		1.94005274728	155.785384059	0.0154364408116	159.547073412	162.771146688	164.914495681	
63		15.5		1.93972189781	156.424844275	0.0155092863621	160.558988821	161.871091141	162.015735724	
64		15.75		1.94016668802	155.382845213	0.0155117964578	162.411447348	171.466451612	172.224755321	
